# Annotated with Bakta
# Software: v1.9.3
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	12776	13387	+	BEEJFJ_00080		CpXC domain-containing protein	RefSeq:WP_251444717.1, SO:0001217, UniParc:UPI00204101F8, UniRef:UniRef100_UPI00204101F8, UniRef:UniRef50_F4XDX2, UniRef:UniRef90_UPI00204101F8
contig_1	cds	13387	14136	+	BEEJFJ_00085		thioesterase	RefSeq:WP_251444720.1, SO:0001217, UniParc:UPI002041F650, UniRef:UniRef100_UPI002041F650, UniRef:UniRef50_A0A644WRD0, UniRef:UniRef90_UPI002041F650
contig_1	cds	14175	15650	+	BEEJFJ_00090	guaB	IMP dehydrogenase	EC:1.1.1.205, GO:0003938, GO:0009152, KEGG:K00088, RefSeq:WP_251444723.1, SO:0001217, UniParc:UPI00203FE542, UniRef:UniRef100_UPI00203FE542, UniRef:UniRef50_P21879, UniRef:UniRef90_UPI00203FE542
contig_1	cds	15849	16646	+	BEEJFJ_00095		cell wall hydrolase	RefSeq:WP_251444726.1, SO:0001217, UniParc:UPI00203D6E79, UniRef:UniRef100_UPI00203D6E79, UniRef:UniRef50_UPI00203D6E79, UniRef:UniRef90_UPI00203D6E79
contig_1	cds	16722	17399	-	BEEJFJ_00100	gntR	GntR family transcriptional regulator	RefSeq:WP_251444729.1, SO:0001217, UniParc:UPI002041AF70, UniRef:UniRef100_UPI002041AF70, UniRef:UniRef50_UPI002041AF70, UniRef:UniRef90_UPI002041AF70
contig_1	cds	17559	18779	+	BEEJFJ_00105		diaminopropionate ammonia-lyase	EC:4.3.1.15, GO:0008838, GO:0030170, KEGG:K01751, RefSeq:WP_251444732.1, SO:0001217, UniParc:UPI00203B4698, UniRef:UniRef100_UPI00203B4698, UniRef:UniRef50_G5HBQ7, UniRef:UniRef90_UPI00203B4698
contig_1	cds	18892	20298	+	BEEJFJ_00110		amino acid carrier protein	KEGG:K03310, RefSeq:WP_251444736.1, SO:0001217, UniParc:UPI00203AB3E5, UniRef:UniRef100_UPI00203AB3E5, UniRef:UniRef50_C0D7L7, UniRef:UniRef90_UPI00203AB3E5
contig_1	cds	20387	21541	+	BEEJFJ_00115		amidohydrolase	RefSeq:WP_251444739.1, SO:0001217, UniParc:UPI0020412623, UniRef:UniRef100_UPI0020412623, UniRef:UniRef50_W9BF76, UniRef:UniRef90_UPI0020412623
contig_1	cds	21556	22788	+	BEEJFJ_00120		Zn-dependent hydrolase	RefSeq:WP_251444741.1, SO:0001217, UniParc:UPI00203F5616, UniRef:UniRef100_UPI00203F5616, UniRef:UniRef50_G9A7P6, UniRef:UniRef90_UPI00203F5616
contig_1	cds	23182	23505	+	BEEJFJ_00125		HNH endonuclease	RefSeq:WP_251444747.1, SO:0001217, UniParc:UPI00203BC6A7, UniRef:UniRef100_UPI00203BC6A7, UniRef:UniRef50_A0A0H5Q3J1, UniRef:UniRef90_UPI00203BC6A7
contig_1	cds	23489	24319	+	BEEJFJ_00130		hypothetical protein	
contig_1	cds	24298	24621	+	BEEJFJ_00135		hypothetical protein	RefSeq:WP_251444750.1, SO:0001217, UniParc:UPI00203D61D9, UniRef:UniRef100_UPI00203D61D9, UniRef:UniRef50_UPI00203D61D9, UniRef:UniRef90_UPI00203D61D9
contig_1	cds	24668	26107	-	BEEJFJ_00140		stalk domain-containing protein	RefSeq:WP_251444753.1, SO:0001217, UniParc:UPI00203FBC6A, UniRef:UniRef100_UPI00203FBC6A, UniRef:UniRef50_A0A2N2CP66, UniRef:UniRef90_UPI00203FBC6A
contig_1	cds	26176	27144	-	BEEJFJ_00145		ABC transporter permease	KEGG:K23536, RefSeq:WP_251444755.1, SO:0001217, UniParc:UPI00204234AE, UniRef:UniRef100_UPI00204234AE, UniRef:UniRef50_N1Z1X7, UniRef:UniRef90_UPI00204234AE
contig_1	cds	27141	28280	-	BEEJFJ_00150		ABC transporter permease	KEGG:K23535, RefSeq:WP_251444758.1, SO:0001217, UniParc:UPI00204210DC, UniRef:UniRef100_UPI00204210DC, UniRef:UniRef50_R5CGA4, UniRef:UniRef90_UPI00204210DC
contig_1	cds	28277	29812	-	BEEJFJ_00155		ABC transporter ATP-binding protein	KEGG:K23537, RefSeq:WP_251444761.1, SO:0001217, UniParc:UPI002040F609, UniRef:UniRef100_UPI002040F609, UniRef:UniRef50_A0A1E3AS44, UniRef:UniRef90_UPI002040F609
contig_1	cds	30053	31240	-	BEEJFJ_00160		BMP family ABC transporter substrate-binding protein	KEGG:K07335, RefSeq:WP_251444765.1, SO:0001217, UniParc:UPI00203CDBB6, UniRef:UniRef100_UPI00203CDBB6, UniRef:UniRef50_R5CFI8, UniRef:UniRef90_UPI00203CDBB6
contig_1	cds	31424	32173	-	BEEJFJ_00165		SDR family oxidoreductase	RefSeq:WP_251444768.1, SO:0001217, UniParc:UPI00203F3080, UniRef:UniRef100_UPI00203F3080, UniRef:UniRef50_P50842, UniRef:UniRef90_UPI00203F3080
contig_1	cds	32188	32625	-	BEEJFJ_00170		cupin domain-containing protein	KEGG:K09705, RefSeq:WP_251444771.1, SO:0001217, UniParc:UPI00203D674D, UniRef:UniRef100_UPI00203D674D, UniRef:UniRef50_R6UHH6, UniRef:UniRef90_UPI00203D674D
contig_1	cds	32627	33283	-	BEEJFJ_00175		class II aldolase/adducin family protein	RefSeq:WP_251444773.1, SO:0001217, UniParc:UPI00203A8831, UniRef:UniRef100_UPI00203A8831, UniRef:UniRef50_A0A1C6BSP0, UniRef:UniRef90_UPI00203A8831
contig_1	cds	33376	34812	-	BEEJFJ_00180	gatB	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB	EC:6.3.5.6, EC:6.3.5.7, GO:0016884, KEGG:K02434, RefSeq:WP_251444776.1, SO:0001217, UniParc:UPI00203B0188, UniRef:UniRef100_UPI00203B0188, UniRef:UniRef50_Q83BM8, UniRef:UniRef90_UPI00203B0188
contig_1	cds	34809	36257	-	BEEJFJ_00185	gatA	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA	EC:6.3.5.6, EC:6.3.5.7, GO:0006424, GO:0030956, GO:0050567, KEGG:K02433, RefSeq:WP_251444779.1, SO:0001217, UniParc:UPI00203E2CBB, UniRef:UniRef100_UPI00203E2CBB, UniRef:UniRef50_B5YL59, UniRef:UniRef90_UPI00203E2CBB
contig_1	cds	36254	36544	-	BEEJFJ_00190	gatC	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC	GO:0006424, GO:0030956, GO:0050567, RefSeq:WP_251444782.1, SO:0001217, UniParc:UPI00203AE481, UniRef:UniRef100_UPI00203AE481, UniRef:UniRef50_A6NZI0, UniRef:UniRef90_UPI00203AE481
contig_1	cds	36563	37885	-	BEEJFJ_00195	aspS	aspartate--tRNA(Asn) ligase	EC:6.1.1.23, GO:0000166, GO:0003676, GO:0004815, GO:0005524, GO:0006422, RefSeq:WP_251444785.1, SO:0001217, UniParc:UPI00203DF218, UniRef:UniRef100_UPI00203DF218, UniRef:UniRef50_A0A1C6KPE6, UniRef:UniRef90_UPI00203DF218
contig_1	cds	38329	38898	+	BEEJFJ_00200		uracil-DNA glycosylase	RefSeq:WP_251444788.1, SO:0001217, UniParc:UPI00203C2D4B, UniRef:UniRef100_UPI00203C2D4B, UniRef:UniRef50_D1PL52, UniRef:UniRef90_UPI00203C2D4B
contig_1	cds	38973	39455	+	BEEJFJ_00205		Lrp/AsnC family transcriptional regulator	RefSeq:WP_251444790.1, SO:0001217, UniParc:UPI002040F2DE, UniRef:UniRef100_UPI002040F2DE, UniRef:UniRef50_R8W4M1, UniRef:UniRef90_UPI002040F2DE
contig_1	cds	39455	40627	+	BEEJFJ_00210		aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme	SO:0001217, UniRef:UniRef50_A0A0U5JDB3, UniRef:UniRef90_UPI00203D5A2B
contig_1	cds	40659	41261	+	BEEJFJ_00215	thrH	bifunctional phosphoserine phosphatase/homoserine phosphotransferase ThrH	EC:2.7.1.39, EC:3.1.3.3, KEGG:K02203, RefSeq:WP_251444793.1, SO:0001217, UniParc:UPI00203C7688, UniRef:UniRef100_UPI00203C7688, UniRef:UniRef50_A0A0M6WEI1, UniRef:UniRef90_A0A1C6G628
contig_1	cds	41298	42581	+	BEEJFJ_00220		DUF1015 domain-containing protein	RefSeq:WP_251444797.1, SO:0001217, UniParc:UPI002041C567, UniRef:UniRef100_UPI002041C567, UniRef:UniRef50_V2YH52, UniRef:UniRef90_UPI002041C567
contig_1	cds	42631	43497	+	BEEJFJ_00225	ispE	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	EC:2.7.1.148, GO:0016114, GO:0050515, KEGG:K00919, RefSeq:WP_251444800.1, SO:0001217, UniParc:UPI00203E9211, UniRef:UniRef100_UPI00203E9211, UniRef:UniRef50_A0A1M5X6K7, UniRef:UniRef90_UPI00203E9211
contig_1	cds	43553	44206	+	BEEJFJ_00230		stage II sporulation protein R	KEGG:K06387, RefSeq:WP_251444803.1, SO:0001217, UniParc:UPI00203DEB23, UniRef:UniRef100_UPI00203DEB23, UniRef:UniRef50_UPI00203DEB23, UniRef:UniRef90_UPI00203DEB23
contig_1	cds	44211	44369	+	BEEJFJ_00235		Rubredoxin	RefSeq:WP_251444806.1, SO:0001217, UniParc:UPI00203C6308, UniRef:UniRef100_UPI00203C6308, UniRef:UniRef50_P15412, UniRef:UniRef90_F4XDC6
contig_1	cds	44678	45997	+	BEEJFJ_00240	mepA	Multidrug export protein MepA	SO:0001217, UniRef:UniRef50_A0A412FJY3
contig_1	cds	46046	47089	-	BEEJFJ_00245		P1 family peptidase	EC:3.4.11.19, KEGG:K01266, RefSeq:WP_251444809.1, SO:0001217, UniParc:UPI00203F48ED, UniRef:UniRef100_UPI00203F48ED, UniRef:UniRef50_A0A653APX1, UniRef:UniRef90_UPI00203F48ED
contig_1	cds	47271	48599	+	BEEJFJ_00250		MATE family efflux transporter	RefSeq:WP_251444812.1, SO:0001217, UniParc:UPI002041C7AA, UniRef:UniRef100_UPI002041C7AA, UniRef:UniRef50_A0A6N8I3Q8, UniRef:UniRef90_UPI002041C7AA
contig_1	cds	48684	49721	+	BEEJFJ_00255	holA	DNA polymerase III subunit delta	EC:2.7.7.7, GO:0003887, GO:0006260, GO:0009360, RefSeq:WP_251444815.1, SO:0001217, UniParc:UPI002040B5D9, UniRef:UniRef100_UPI002040B5D9, UniRef:UniRef50_A0A0S2W1Q6, UniRef:UniRef90_UPI002040B5D9
contig_1	cds	49755	51629	+	BEEJFJ_00260		DUF4914 domain-containing protein	RefSeq:WP_251444818.1, SO:0001217, UniParc:UPI00203D5830, UniRef:UniRef100_UPI00203D5830, UniRef:UniRef50_A0A0A0BY83, UniRef:UniRef90_UPI00203D5830
contig_1	cds	51657	52226	+	BEEJFJ_00265		DUF4093 domain-containing protein	EC:3.1.26.8, KEGG:K05985, SO:0001217, UniRef:UniRef50_A0A6N8I0I3, UniRef:UniRef90_UPI00203F6B5D
contig_1	ncRNA-region	52279	52381	+			THF riboswitch	RFAM:RF01831, SO:0000035
contig_1	cds	52461	53087	+	BEEJFJ_00270		folate family ECF transporter S component	RefSeq:WP_251444824.1, SO:0001217, UniParc:UPI0020400416, UniRef:UniRef100_UPI0020400416, UniRef:UniRef50_A6NVV0, UniRef:UniRef90_UPI0020400416
contig_1	cds	53183	55240	-	BEEJFJ_00275		hypothetical protein	RefSeq:WP_251444827.1, SO:0001217, UniParc:UPI00203F3CAC, UniRef:UniRef100_UPI00203F3CAC, UniRef:UniRef50_UPI00203F3CAC, UniRef:UniRef90_UPI00203F3CAC
contig_1	cds	55225	55563	-	BEEJFJ_00280		histidine triad nucleotide-binding protein	RefSeq:WP_251444830.1, SO:0001217, UniParc:UPI0020405E7E, UniRef:UniRef100_UPI0020405E7E, UniRef:UniRef50_R8W4Q9, UniRef:UniRef90_UPI0020405E7E
contig_1	cds	55764	58436	-	BEEJFJ_00285	alaS	alanine--tRNA ligase	EC:6.1.1.7, GO:0004813, GO:0005737, GO:0006419, RefSeq:WP_251444836.1, SO:0001217, UniParc:UPI00203B28F7, UniRef:UniRef100_UPI00203B28F7, UniRef:UniRef50_A0A173UJA7, UniRef:UniRef90_UPI00203B28F7
contig_1	cds	58731	59846	-	BEEJFJ_00290		acyltransferase	RefSeq:WP_251444839.1, SO:0001217, UniParc:UPI00203A4241, UniRef:UniRef100_UPI00203A4241, UniRef:UniRef50_UPI00203A4241, UniRef:UniRef90_UPI00203A4241
contig_1	cds	59843	61054	-	BEEJFJ_00295		U32 family peptidase	EC:3.4.-.-, KEGG:K08303, RefSeq:WP_251444842.1, SO:0001217, UniParc:UPI0020414094, UniRef:UniRef100_UPI0020414094, UniRef:UniRef50_A0A6N3EEK5, UniRef:UniRef90_UPI0020414094
contig_1	cds	61047	62234	-	BEEJFJ_00300	mltG	endolytic transglycosylase MltG	SO:0001217, UniRef:UniRef50_A0A174Q1B2, UniRef:UniRef90_UPI00203B3900
contig_1	cds	62364	62513	+	BEEJFJ_00305		hypothetical protein	
contig_1	cds	62561	63130	-	BEEJFJ_00310		5-formyltetrahydrofolate cyclo-ligase	EC:6.3.3.2, GO:0006730, GO:0030272, KEGG:K01934, RefSeq:WP_251444852.1, SO:0001217, UniParc:UPI00203B13DC, UniRef:UniRef100_UPI00203B13DC, UniRef:UniRef50_UPI00203B13DC, UniRef:UniRef90_UPI00203B13DC
contig_1	cds	63108	63656	-	BEEJFJ_00315		DJ-1 family glyoxalase III	RefSeq:WP_251444855.1, SO:0001217, UniParc:UPI00203BD8F6, UniRef:UniRef100_UPI00203BD8F6, UniRef:UniRef50_A0A644XKC3, UniRef:UniRef90_UPI00203BD8F6
contig_1	cds	63673	64353	-	BEEJFJ_00320		thymidylate kinase	RefSeq:WP_251444858.1, SO:0001217, UniParc:UPI00203F6001, UniRef:UniRef100_UPI00203F6001, UniRef:UniRef50_A0A0S2W1P3, UniRef:UniRef90_UPI00203F6001
contig_1	cds	64355	65077	-	BEEJFJ_00325		WecB/TagA/CpsF family glycosyltransferase	EC:2.4.1.187, KEGG:K05946, RefSeq:WP_251444861.1, SO:0001217, UniParc:UPI002040EB18, UniRef:UniRef100_UPI002040EB18, UniRef:UniRef50_A0A6N3EF14, UniRef:UniRef90_UPI002040EB18
contig_1	cds	65344	66219	+	BEEJFJ_00330		helix-turn-helix transcriptional regulator	RefSeq:WP_251444865.1, SO:0001217, UniParc:UPI00203E2178, UniRef:UniRef100_UPI00203E2178, UniRef:UniRef50_UPI00203E2178, UniRef:UniRef90_UPI00203E2178
contig_1	cds	66254	68392	-	BEEJFJ_00335	ppk1	polyphosphate kinase 1	EC:2.7.4.1, GO:0006799, GO:0008976, GO:0009358, KEGG:K00937, RefSeq:WP_251444868.1, SO:0001217, UniParc:UPI0020418C9D, UniRef:UniRef100_UPI0020418C9D, UniRef:UniRef50_A0A1C6GWC0, UniRef:UniRef90_UPI0020418C9D
contig_1	cds	68376	69284	-	BEEJFJ_00340		phosphatase	EC:3.6.1.11, EC:3.6.1.40, KEGG:K01524, RefSeq:WP_251444871.1, SO:0001217, UniParc:UPI00203EE696, UniRef:UniRef100_UPI00203EE696, UniRef:UniRef50_A0A1C6CKX5, UniRef:UniRef90_UPI00203EE696
contig_1	cds	69470	71386	-	BEEJFJ_00345		S41 family peptidase	RefSeq:WP_251444874.1, SO:0001217, UniParc:UPI002040D3A6, UniRef:UniRef100_UPI002040D3A6, UniRef:UniRef50_UPI002040D3A6, UniRef:UniRef90_UPI002040D3A6
contig_1	cds	71506	72261	-	BEEJFJ_00350		exodeoxyribonuclease III	EC:3.1.11.2, KEGG:K01142, RefSeq:WP_251444877.1, SO:0001217, UniParc:UPI00203B91BF, UniRef:UniRef100_UPI00203B91BF, UniRef:UniRef50_P37454, UniRef:UniRef90_UPI00203B91BF
contig_1	cds	72258	74540	-	BEEJFJ_00355		DNA internalization-related competence protein ComEC/Rec2	GO:0005215, GO:0009290, RefSeq:WP_251444880.1, SO:0001217, UniParc:UPI002041CCE4, UniRef:UniRef100_UPI002041CCE4, UniRef:UniRef50_A0A0S2W2I7, UniRef:UniRef90_UPI002041CCE4
contig_1	cds	74669	74953	-	BEEJFJ_00360		hypothetical protein	RefSeq:WP_251444883.1, SO:0001217, UniParc:UPI00203F46EA, UniRef:UniRef100_UPI00203F46EA, UniRef:UniRef50_UPI00203F46EA, UniRef:UniRef90_UPI00203F46EA
contig_1	cds	75029	76516	-	BEEJFJ_00365	glpK	glycerol kinase GlpK	EC:2.7.1.30, GO:0004370, GO:0006071, KEGG:K00864, RefSeq:WP_251444886.1, SO:0001217, UniParc:UPI00203C578E, UniRef:UniRef100_UPI00203C578E, UniRef:UniRef50_C0QVC0, UniRef:UniRef90_UPI00203C578E
contig_1	cds	76649	80005	+	BEEJFJ_00370		hypothetical protein	RefSeq:WP_251444889.1, SO:0001217, UniParc:UPI00203FC4B4, UniRef:UniRef100_UPI00203FC4B4, UniRef:UniRef50_UPI0009518C53, UniRef:UniRef90_UPI00203FC4B4
contig_1	cds	79989	83795	+	BEEJFJ_00375		glucoamylase family protein	RefSeq:WP_251445143.1, SO:0001217, UniParc:UPI00203F2F7F, UniRef:UniRef100_UPI00203F2F7F, UniRef:UniRef50_UPI00203F2F7F, UniRef:UniRef90_UPI00203F2F7F
contig_1	cds	83954	85234	+	BEEJFJ_00380		insulinase family protein	RefSeq:WP_251444892.1, SO:0001217, UniParc:UPI00203E857E, UniRef:UniRef100_UPI00203E857E, UniRef:UniRef50_A0A096DEK8, UniRef:UniRef90_UPI00203E857E
contig_1	cds	85237	86517	+	BEEJFJ_00385		pitrilysin family protein	RefSeq:WP_251444894.1, SO:0001217, UniParc:UPI00203BEA93, UniRef:UniRef100_UPI00203BEA93, UniRef:UniRef50_R9M596, UniRef:UniRef90_UPI00203BEA93
contig_1	cds	86514	87491	+	BEEJFJ_00390	lgt	prolipoprotein diacylglyceryl transferase	EC:2.5.1.145, GO:0008961, GO:0009249, GO:0016020, KEGG:K13292, RefSeq:WP_251444897.1, SO:0001217, UniParc:UPI00203FA66F, UniRef:UniRef100_UPI00203FA66F, UniRef:UniRef50_A0A844K1C5, UniRef:UniRef90_UPI00203FA66F
contig_1	cds	87478	88320	+	BEEJFJ_00395	folD	bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD	EC:1.5.1.5, EC:3.5.4.9, GO:0004488, RefSeq:WP_251444900.1, SO:0001217, UniParc:UPI0020400EA8, UniRef:UniRef100_UPI0020400EA8, UniRef:UniRef50_F4XAH3, UniRef:UniRef90_UPI0020400EA8
contig_1	cds	88393	88848	+	BEEJFJ_00400	nrdR	transcriptional regulator NrdR	GO:0006355, GO:0140110, RefSeq:WP_251444903.1, SO:0001217, UniParc:UPI00203AF637, UniRef:UniRef100_UPI00203AF637, UniRef:UniRef50_A3DCK9, UniRef:UniRef90_UPI00203AF637
contig_1	cds	89073	89690	+	BEEJFJ_00405		copper amine oxidase N-terminal domain-containing protein	RefSeq:WP_251444905.1, SO:0001217, UniParc:UPI00203F3F55, UniRef:UniRef100_UPI00203F3F55, UniRef:UniRef50_A0A6N9PU37, UniRef:UniRef90_UPI00203F3F55
contig_1	cds	89703	90077	+	BEEJFJ_00410	tnpV	TnpV protein	RefSeq:WP_251444908.1, SO:0001217, UniParc:UPI00203BF30D, UniRef:UniRef100_UPI00203BF30D, UniRef:UniRef50_A0A1C6A2W9, UniRef:UniRef90_UPI00203BF30D
contig_1	cds	90232	91044	+	BEEJFJ_00415		Phosphate-binding protein	KEGG:K02040, SO:0001217, UniRef:UniRef50_A0A7X8X791, UniRef:UniRef90_A0A6N9PRV5
contig_1	cds	91052	91927	+	BEEJFJ_00420	pstC	phosphate ABC transporter permease subunit PstC	GO:0005886, GO:0015415, GO:0055052, RefSeq:WP_251444911.1, SO:0001217, UniParc:UPI00203C8E0A, UniRef:UniRef100_UPI00203C8E0A, UniRef:UniRef50_A0A1I5LAJ4, UniRef:UniRef90_A0A6N9PTN6
contig_1	cds	91924	92766	+	BEEJFJ_00425	pstA	phosphate ABC transporter permease PstA	GO:0005886, GO:0015415, GO:0055052, RefSeq:WP_251444914.1, SO:0001217, UniParc:UPI00203DEB4F, UniRef:UniRef100_UPI00203DEB4F, UniRef:UniRef50_A0A948WY30, UniRef:UniRef90_A0A6N9PUZ4
contig_1	cds	92763	93518	+	BEEJFJ_00430	pstB	phosphate ABC transporter ATP-binding protein PstB	EC:7.3.2.1, GO:0005524, GO:0009898, GO:0015415, GO:0055052, RefSeq:WP_251444917.1, SO:0001217, UniParc:UPI00204027AE, UniRef:UniRef100_UPI00204027AE, UniRef:UniRef50_P46342, UniRef:UniRef90_A0A6N9PX55
contig_1	cds	93518	94156	+	BEEJFJ_00435	phoU	phosphate signaling complex protein PhoU	GO:0003700, GO:0051049, RefSeq:WP_251444919.1, SO:0001217, UniParc:UPI00203AF7AE, UniRef:UniRef100_UPI00203AF7AE, UniRef:UniRef50_B0MGJ6, UniRef:UniRef90_A0A6N9PUF2
contig_1	cds	94162	94836	+	BEEJFJ_00440		Stage 0 sporulation A-like protein	RefSeq:WP_251444922.1, SO:0001217, UniParc:UPI00203D963C, UniRef:UniRef100_UPI00203D963C, UniRef:UniRef50_A0A095XGK9, UniRef:UniRef90_A0A6N9PTG5
contig_1	cds	94833	96488	+	BEEJFJ_00445		histidine kinase	RefSeq:WP_251444925.1, SO:0001217, UniParc:UPI00203AB3C8, UniRef:UniRef100_UPI00203AB3C8, UniRef:UniRef50_A0A9D0ZCN5, UniRef:UniRef90_A0A6N9PTB6
contig_1	cds	97230	97571	+	BEEJFJ_00450	mobC	plasmid mobilization relaxosome protein MobC	RefSeq:WP_251444927.1, SO:0001217, UniParc:UPI00203B7201, UniRef:UniRef100_UPI00203B7201, UniRef:UniRef50_A0A810PR21, UniRef:UniRef90_UPI00203B7201
contig_1	cds	97568	98437	+	BEEJFJ_00455		ParB/RepB/Spo0J family partition protein	KEGG:K03497, RefSeq:WP_251444930.1, SO:0001217, UniParc:UPI00203EDED7, UniRef:UniRef100_UPI00203EDED7, UniRef:UniRef50_A0A7U9X6Y4, UniRef:UniRef90_UPI00203EDED7
contig_1	cds	98437	98622	+	BEEJFJ_00460		hypothetical protein	RefSeq:WP_251444933.1, SO:0001217, UniParc:UPI00203A4C84, UniRef:UniRef100_UPI00203A4C84, UniRef:UniRef50_UPI00203A4C84, UniRef:UniRef90_UPI00203A4C84
contig_1	cds	98972	99745	+	BEEJFJ_00465	parA	ParA-like ATPase involved in chromosome/plasmid partitioning or cellulose biosynthesis protein BcsQ	COG:COG1192, COG:DN, KEGG:K03496, RefSeq:WP_009260039.1, SO:0001217, UniParc:UPI000246CBF5, UniRef:UniRef100_A0A173YNB6, UniRef:UniRef50_A0A173YNB6, UniRef:UniRef90_A0A173YNB6
