#Annotated with Bakta v1.9.3, https://github.com/oschwengers/bakta
#Database v5.1, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	209593	209994	+	HKCHME_00965	14.3	5.0		RefSeq:WP_116721541.1, SO:0001217, UniParc:UPI000D5C6D16, UniRef:UniRef100_A0A2U1CG99, UniRef:UniRef50_A0A0S2W017, UniRef:UniRef90_A0A2U1CG99
contig_1	252512	253186	+	HKCHME_01160	24.5	11.3		SO:0001217, UniParc:UPI000D5DCF28, UniRef:UniRef100_A0A2U1CG61, UniRef:UniRef50_A0A2U1CG61, UniRef:UniRef90_A0A2U1CG61
contig_1	253119	253478	-	HKCHME_01165	13.9	8.8		RefSeq:WP_075705097.1, SO:0001217, UniParc:UPI0008203661, UniRef:UniRef100_A0A2U1CG64, UniRef:UniRef50_A0A0S2W064, UniRef:UniRef90_A0A0S2W064
contig_1	254344	254496	+	HKCHME_01175	5.3	10.2		RefSeq:WP_158453349.1, SO:0001217, UniParc:UPI00071F1B81, UniRef:UniRef100_A0A0S2W052, UniRef:UniRef50_A0A0S2W052, UniRef:UniRef90_A0A0S2W052
contig_1	260074	260292	-	HKCHME_01200	8.3	9.0		SO:0001217, UniParc:UPI000820E588, UniRef:UniRef100_A0A2U1CG53, UniRef:UniRef50_A0A2U1CG53, UniRef:UniRef90_A0A2U1CG53
contig_1	277556	277690	-	HKCHME_01290	5.2	4.1		RefSeq:WP_257534798.1, SO:0001217, UniParc:UPI0008232847, UniRef:UniRef100_A0A2U1CG20, UniRef:UniRef50_A0A0S2W077, UniRef:UniRef90_A0A0S2W077
contig_1	309511	309756	+	HKCHME_01455	9.2	11.2		RefSeq:WP_116721516.1, SO:0001217, UniParc:UPI00082216BD, UniRef:UniRef100_A0A2U1CFZ3, UniRef:UniRef50_A0A2U1CFZ3, UniRef:UniRef90_A0A2U1CFZ3
contig_1	326578	327132	-	HKCHME_01560	20.1	5.8		RefSeq:WP_075705152.1, SO:0001217, UniParc:UPI00082119D7, UniRef:UniRef100_A0A2U1CFX6, UniRef:UniRef50_A0A0S2W0R1, UniRef:UniRef90_A0A0S2W0R1
contig_1	344919	345575	+	HKCHME_01650	24.9	4.4		RefSeq:WP_075705167.1, SO:0001217, UniParc:UPI000821D259, UniRef:UniRef100_A0A2U1CFW7, UniRef:UniRef50_A0A2U1CFW7, UniRef:UniRef90_A0A2U1CFW7
contig_1	348486	348656	+	HKCHME_01670	6.5	6.5		RefSeq:WP_156113824.1, SO:0001217, UniParc:UPI00071FCB2D, UniRef:UniRef100_A0A0S2W0J6, UniRef:UniRef50_A0A0S2W0J6, UniRef:UniRef90_A0A0S2W0J6
contig_1	381107	381301	-	HKCHME_01825	7.0	10.9		SO:0001217, UniParc:UPI000D5ED774, UniRef:UniRef100_A0A2U1CFR3, UniRef:UniRef50_A0A2U1CFR3, UniRef:UniRef90_A0A2U1CFR3
contig_1	388520	388672	-	HKCHME_01855	5.6	4.9		RefSeq:WP_165366523.1, SO:0001217, UniParc:UPI000D5E3374, UniRef:UniRef100_A0A2U1CFR0, UniRef:UniRef50_A0A2U1CFR0, UniRef:UniRef90_A0A2U1CFR0
contig_1	390755	391009	+	HKCHME_01870	10.0	8.9		RefSeq:WP_116721488.1, SO:0001217, UniParc:UPI000D5C6233, UniRef:UniRef100_A0A2U1CFQ2, UniRef:UniRef50_A0A2U1CFQ2, UniRef:UniRef90_A0A2U1CFQ2
contig_1	391297	391437	-	HKCHME_01875	5.5	4.4		RefSeq:WP_165366524.1, SO:0001217, UniParc:UPI000D5CDF91, UniRef:UniRef100_A0A2U1CFQ5, UniRef:UniRef50_A0A1C5Z484, UniRef:UniRef90_A0A2U1CFQ5
contig_1	399421	400887	-	HKCHME_01915	53.5	4.1		RefSeq:WP_116721479.1, SO:0001217, UniParc:UPI000D5F89F5, UniRef:UniRef100_A0A2U1CFQ7, UniRef:UniRef50_A0A6I2RTC2, UniRef:UniRef90_A0A2U1CFQ7
contig_1	454840	455577	-	HKCHME_02195	27.9	4.8		RefSeq:WP_116721432.1, SO:0001217, UniParc:UPI000D5CE264, UniRef:UniRef100_A0A2U1CFI3, UniRef:UniRef50_A0A096B623, UniRef:UniRef90_A6NVG3
contig_1	457909	458211	-	HKCHME_02210	11.2	4.7		RefSeq:WP_116721429.1, SO:0001217, UniParc:UPI000D5DC6C8, UniRef:UniRef100_A0A2U1CFM1, UniRef:UniRef50_A0A2U1CFM1, UniRef:UniRef90_A0A2U1CFM1
contig_1	458230	458589	-	HKCHME_02215	14.3	6.1		RefSeq:WP_116721428.1, SO:0001217, UniParc:UPI000D5C9799, UniRef:UniRef100_A0A2U1CFJ2, UniRef:UniRef50_A0A0S2W2M5, UniRef:UniRef90_A6NVG6
contig_1	458586	459029	-	HKCHME_02220	16.6	5.9		RefSeq:WP_087291155.1, SO:0001217, UniParc:UPI000B3860CB, UniRef:UniRef100_A0A2U1CFH3, UniRef:UniRef50_A0A9D1CHR5, UniRef:UniRef90_A0A2U1CFH3
contig_1	460625	460723	-	HKCHME_02235	3.6	9.7		SO:0001217, UniParc:UPI000D5DF318, UniRef:UniRef100_A0A2U1CFH2, UniRef:UniRef50_A0A2U1CFH2, UniRef:UniRef90_A0A2U1CFH2
contig_1	460713	461042	-	HKCHME_02240	12.0	5.3		RefSeq:WP_116721426.1, SO:0001217, UniParc:UPI000D5D1F4B, UniRef:UniRef100_A0A2U1CFJ7, UniRef:UniRef50_A0A2U1CFJ7, UniRef:UniRef90_A0A2U1CFJ7
contig_1	461064	461348	-	HKCHME_02245	10.7	9.5		RefSeq:WP_116721425.1, SO:0001217, UniParc:UPI000D5D2E98, UniRef:UniRef100_A0A2U1CFI0, UniRef:UniRef50_A0A2U1CFI0, UniRef:UniRef90_A0A2U1CFI0
contig_1	462706	462894	-	HKCHME_02255	6.7	4.2		RefSeq:WP_116721423.1, SO:0001217, UniParc:UPI000D5EFE0A, UniRef:UniRef100_A0A2U1CFH0, UniRef:UniRef50_A0A2U1CFH0, UniRef:UniRef90_A0A2U1CFH0
contig_1	463062	463331	-	HKCHME_02265	10.3	4.5		RefSeq:WP_116721421.1, SO:0001217, UniParc:UPI000D5D71A9, UniRef:UniRef100_A0A2U1CFI6, UniRef:UniRef50_A0A2U1CFI6, UniRef:UniRef90_A0A2U1CFI6
contig_1	464822	466300	-	HKCHME_02275	52.8	5.6		RefSeq:WP_116721419.1, SO:0001217, UniParc:UPI000D5DCC24, UniRef:UniRef100_A0A2U1CFG1, UniRef:UniRef50_A0A2U1CFG1, UniRef:UniRef90_A0A2U1CFG1
contig_1	478489	478815	-	HKCHME_02340	11.6	5.9		RefSeq:WP_116721407.1, SO:0001217, UniParc:UPI000D5DB330, UniRef:UniRef100_A0A2U1CFG8, UniRef:UniRef50_A0A2U1CFG8, UniRef:UniRef90_A0A2U1CFG8
contig_1	478830	479357	-	HKCHME_02345	19.5	4.5		RefSeq:WP_116721406.1, SO:0001217, UniParc:UPI000D5E8F9F, UniRef:UniRef100_A0A2U1CFG4, UniRef:UniRef50_A0A2U1CFG4, UniRef:UniRef90_A0A2U1CFG4
contig_1	489916	490845	+	HKCHME_02415	33.0	5.5		RefSeq:WP_116721394.1, SO:0001217, UniParc:UPI000D5DB67A, UniRef:UniRef100_A0A2U1CFE1, UniRef:UniRef50_A0A2U1CFE1, UniRef:UniRef90_A0A2U1CFE1
contig_1	491674	492117	+	HKCHME_02435	16.7	5.6		RefSeq:WP_116721392.1, SO:0001217, UniParc:UPI000D5FAEB7, UniRef:UniRef100_A0A2U1CFG0, UniRef:UniRef50_A0A2U1CFG0, UniRef:UniRef90_A0A2U1CFG0
contig_1	493178	493372	+	HKCHME_02450	7.6	8.7		SO:0001217, UniParc:UPI000D5F9A85, UniRef:UniRef100_A0A2U1CFE0, UniRef:UniRef50_A0A2U1CFE0, UniRef:UniRef90_A0A2U1CFE0
contig_1	493501	493737	+	HKCHME_02460	9.0	9.6		RefSeq:WP_116721389.1, SO:0001217, UniParc:UPI000D5CA5D3, UniRef:UniRef100_A0A2U1CFN9, UniRef:UniRef50_A0A2U1CFN9, UniRef:UniRef90_A0A2U1CFN9
contig_1	495696	495917	-	HKCHME_02485	8.1	5.2		RefSeq:WP_116721384.1, SO:0001217, UniParc:UPI000D5F5543, UniRef:UniRef100_A0A2U1CFD0, UniRef:UniRef50_A0A2U1CFD0, UniRef:UniRef90_A0A2U1CFD0
contig_1	497594	497821	-	HKCHME_02500	8.4	8.5		RefSeq:WP_116721381.1, SO:0001217, UniParc:UPI000D5F05A7, UniRef:UniRef100_A0A2U1CFD1, UniRef:UniRef50_A0A2U1CFD1, UniRef:UniRef90_A0A2U1CFD1
contig_1	497826	498341	-	HKCHME_02505	19.0	4.6		RefSeq:WP_116721380.1, SO:0001217, UniParc:UPI000D5C934E, UniRef:UniRef100_A0A2U1CFC9, UniRef:UniRef50_A0A2U1CFC9, UniRef:UniRef90_A0A2U1CFC9
contig_1	499160	499825	-	HKCHME_02515	24.8	4.6		RefSeq:WP_116721378.1, SO:0001217, UniParc:UPI000D5F7F60, UniRef:UniRef100_A0A2U1CFC7, UniRef:UniRef50_A0A2U1CFC7, UniRef:UniRef90_A0A2U1CFC7
contig_1	499838	499975	-	HKCHME_02520	4.7	5.9		RefSeq:WP_165366533.1, SO:0001217, UniParc:UPI000D5D7A6D, UniRef:UniRef100_A0A2U1CFD4, UniRef:UniRef50_A0A2U1CFD4, UniRef:UniRef90_A0A2U1CFD4
contig_1	499972	500133	-	HKCHME_02525	6.3	4.4		RefSeq:WP_165366534.1, SO:0001217, UniParc:UPI000D5E6C6E, UniRef:UniRef100_A0A2U1CFC5, UniRef:UniRef50_A0A2U1CFC5, UniRef:UniRef90_A0A2U1CFC5
contig_1	500139	500678	-	HKCHME_02530	20.3	8.7		RefSeq:WP_116721377.1, SO:0001217, UniParc:UPI000D5C9C13, UniRef:UniRef100_A0A2U1CFC2, UniRef:UniRef50_A0A2U1CFC2, UniRef:UniRef90_A0A2U1CFC2
contig_1	500690	500923	-	HKCHME_02535	8.3	6.5		RefSeq:WP_116721376.1, SO:0001217, UniParc:UPI000D5E992B, UniRef:UniRef100_A0A2U1CFC0, UniRef:UniRef50_A0A2U1CFC0, UniRef:UniRef90_A0A2U1CFC0
contig_1	501379	501588	-	HKCHME_02545	7.9	9.3		RefSeq:WP_116721374.1, SO:0001217, UniParc:UPI000D5CD411, UniRef:UniRef100_A0A2U1CFE9, UniRef:UniRef50_A0A2U1CFE9, UniRef:UniRef90_A0A2U1CFE9
contig_1	501585	501917	-	HKCHME_02550	13.1	6.2		RefSeq:WP_116721373.1, SO:0001217, UniParc:UPI000D5C79F6, UniRef:UniRef100_A0A2U1CFC1, UniRef:UniRef50_A0A2U1CFC1, UniRef:UniRef90_A0A2U1CFC1
contig_1	502735	502899	-	HKCHME_02560	5.8	5.1		RefSeq:WP_165366535.1, SO:0001217, UniParc:UPI000D5F11A2, UniRef:UniRef100_A0A2U1CFK5, UniRef:UniRef50_A0A2U1CFK5, UniRef:UniRef90_A0A2U1CFK5
contig_1	505898	506386	-	HKCHME_02590	18.0	4.7		SO:0001217, UniParc:UPI000D5E2B95, UniRef:UniRef100_A0A2U1CFF0, UniRef:UniRef50_A0A2U1CFF0, UniRef:UniRef90_A0A2U1CFF0
contig_1	506383	506706	-	HKCHME_02595	12.6	9.1		RefSeq:WP_116721366.1, SO:0001217, UniParc:UPI000D5E2F08, UniRef:UniRef100_A0A2U1CFE2, UniRef:UniRef50_A0A2U1CFE2, UniRef:UniRef90_A0A2U1CFE2
contig_1	506896	507054	-	HKCHME_02600	6.1	8.2		RefSeq:WP_165366537.1, SO:0001217, UniParc:UPI000D5EECAF, UniRef:UniRef100_A0A2U1CFA7, UniRef:UniRef50_A0A2U1CFA7, UniRef:UniRef90_A0A2U1CFA7
contig_1	507067	507231	-	HKCHME_02605	5.8	5.7		RefSeq:WP_165366538.1, SO:0001217, UniParc:UPI000D5F883D, UniRef:UniRef100_A0A2U1CFA8, UniRef:UniRef50_A0A2U1CFA8, UniRef:UniRef90_A0A2U1CFA8
contig_1	513005	513190	+	HKCHME_02645	7.0	10.1		RefSeq:WP_052082854.1, SO:0001217, UniParc:UPI00068E5E9F, UniRef:UniRef100_A0A2U1CFD8, UniRef:UniRef50_A0A2U1CFD8, UniRef:UniRef90_A0A2U1CFD8
contig_1	514308	514496	-	HKCHME_02665	6.8	9.9		SO:0001217, UniParc:UPI000820A1B6, UniRef:UniRef100_A0A2U1CFJ8, UniRef:UniRef50_A0A0S2W0N4, UniRef:UniRef90_A0A2U1CFJ8
contig_1	514671	514841	-	HKCHME_02670	6.3	9.7		RefSeq:WP_156113809.1, SO:0001217, UniParc:UPI0007223267, UniRef:UniRef100_A0A0S2W0N4, UniRef:UniRef50_A0A0S2W0N4, UniRef:UniRef90_A0A0S2W0N4
contig_1	514918	516564	+	HKCHME_02675	57.7	4.6		RefSeq:WP_116721359.1, SO:0001217, UniParc:UPI000820EAF0, UniRef:UniRef100_A0A2U1CF97, UniRef:UniRef50_A0A2U1CF97, UniRef:UniRef90_A0A2U1CF97
contig_1	520397	520870	+	HKCHME_02700	16.6	4.7		RefSeq:WP_075705213.1, SO:0001217, UniParc:UPI000951FD07, UniRef:UniRef100_A0A2U1CFB8, UniRef:UniRef50_A0A0S2W0X5, UniRef:UniRef90_A0A2U1CFB8
contig_1	522979	523365	+	HKCHME_02715	14.4	6.6		RefSeq:WP_075705216.1, SO:0001217, UniParc:UPI000820319B, UniRef:UniRef100_A0A2U1CFI8, UniRef:UniRef50_A0A0S2W0L1, UniRef:UniRef90_A0A0S2W0L1
contig_1	523807	524013	+	HKCHME_02725	7.7	10.3		RefSeq:WP_033118881.1, SO:0001217, UniParc:UPI00051B43F5, UniRef:UniRef100_A0A2U1CF86, UniRef:UniRef50_A0A0S2W149, UniRef:UniRef90_A0A0S2W149
contig_1	527512	528996	+	HKCHME_02755	53.4	4.9		SO:0001217, UniParc:UPI000821E667, UniRef:UniRef100_A0A2U1CF78, UniRef:UniRef50_A0A0S2W0M0, UniRef:UniRef90_A0A0S2W0M0
contig_1	536214	537326	+	HKCHME_02810	37.6	9.3		RefSeq:WP_075705226.1, SO:0001217, UniParc:UPI00095364BB, UniRef:UniRef100_A0A2U1CF65, UniRef:UniRef50_A0A0S2W0R4, UniRef:UniRef90_A0A0S2W0R4
contig_1	538598	539128	-	HKCHME_02830	19.5	5.4		RefSeq:WP_075705228.1, SO:0001217, UniParc:UPI000952D282, UniRef:UniRef100_A0A2U1CF58, UniRef:UniRef50_A0A0S2W0N1, UniRef:UniRef90_A0A0S2W0N1
contig_1	542167	542688	-	HKCHME_02855	19.0	9.5		RefSeq:WP_058117003.1, SO:0001217, UniParc:UPI00071AE5CC, UniRef:UniRef100_A0A0S2W0M3, UniRef:UniRef50_A0A1C6AYP0, UniRef:UniRef90_A0A0S2W0M3
contig_1	555592	556365	-	HKCHME_02910	28.1	5.1		RefSeq:WP_116721345.1, SO:0001217, UniParc:UPI000D5D6073, UniRef:UniRef100_A0A2U1CF40, UniRef:UniRef50_A0A0S2W0Z8, UniRef:UniRef90_A0A0S2W0Z8
contig_1	566994	567656	+	HKCHME_02975	23.5	11.8		SO:0001217, UniParc:UPI0008202507, UniRef:UniRef100_A0A2U1CF45, UniRef:UniRef50_A0A2U1CF45, UniRef:UniRef90_A0A2U1CF45
contig_1	568964	569710	+	HKCHME_02985	26.1	4.3		RefSeq:WP_116721338.1, SO:0001217, UniParc:UPI000822ED57, UniRef:UniRef100_A0A2U1CF20, UniRef:UniRef50_A0A2U1CF20, UniRef:UniRef90_A0A2U1CF20
contig_1	577578	577802	-	HKCHME_03030	8.5	4.9		RefSeq:WP_075705245.1, SO:0001217, UniParc:UPI0008204F99, UniRef:UniRef100_A0A2U1CF08, UniRef:UniRef50_A0A2U1CF08, UniRef:UniRef90_A0A2U1CF08
contig_1	579331	579663	-	HKCHME_03045	12.0	9.5		RefSeq:WP_165366546.1, SO:0001217, UniParc:UPI000D5E2BFB, UniRef:UniRef100_A0A2U1CF46, UniRef:UniRef50_A0A0S2W153, UniRef:UniRef90_A0A0S2W153
contig_1	613724	614311	+	HKCHME_03200	21.3	10.3		RefSeq:WP_129868772.1, SO:0001217, UniParc:UPI000D5E61F4, UniRef:UniRef100_A0A2U1BCA6, UniRef:UniRef50_A0A2U1BCA6, UniRef:UniRef90_A0A2U1BCA6
contig_1	628454	628600	+	HKCHME_03270	5.4	4.9		RefSeq:WP_165366549.1, SO:0001217, UniParc:UPI0008210783, UniRef:UniRef100_A0A2U1BAP9, UniRef:UniRef50_A0A2U1BAP9, UniRef:UniRef90_A0A2U1BAP9
contig_1	628699	628797	+	HKCHME_03275	3.7	9.7		SO:0001217, UniParc:UPI000822C65B, UniRef:UniRef100_A0A2U1BAQ4, UniRef:UniRef50_A0A2U1BAQ4, UniRef:UniRef90_A0A2U1BAQ4
contig_1	705440	705940	+	HKCHME_03635	17.4	5.3		RefSeq:WP_116722213.1, SO:0001217, UniParc:UPI000D5F91C4, UniRef:UniRef100_A0A2U1BIU0, UniRef:UniRef50_A0A2U1BIU0, UniRef:UniRef90_A0A2U1BIU0
contig_1	727283	727459	-	HKCHME_03715	6.8	5.4		RefSeq:WP_021629799.1, SO:0001217, UniParc:UPI000395F111, UniRef:UniRef100_A0A0S2W1L4, UniRef:UniRef50_A0A7X8ETZ3, UniRef:UniRef90_A0A0S2W1L4
contig_1	729894	730211	-	HKCHME_03735	11.9	6.6		RefSeq:WP_025543417.1, SO:0001217, UniParc:UPI00046F42A5, UniRef:UniRef100_A0A0S2W199, UniRef:UniRef50_A0A373KBH4, UniRef:UniRef90_A0A0S2W199
contig_1	739957	741057	+	HKCHME_03795	41.8	5.1		RefSeq:WP_129868778.1, SO:0001217, UniParc:UPI000D5E86E0, UniRef:UniRef100_A0A2U1BIX0, UniRef:UniRef50_A0A2U1BIX0, UniRef:UniRef90_A0A2U1BIX0
contig_1	750500	750679	-	HKCHME_03845	7.0	6.6		RefSeq:WP_087214598.1, SO:0001217, UniParc:UPI0008E75629, UniRef:UniRef100_A0A2U1BIX2, UniRef:UniRef50_A0A7X8ETZ3, UniRef:UniRef90_A0A0M2NBR7
contig_1	760416	760709	+	HKCHME_03890	11.3	5.2		RefSeq:WP_087214615.1, SO:0001217, UniParc:UPI0008DECC53, UniRef:UniRef100_A0A2U1BIU1, UniRef:UniRef50_A0A136Q642, UniRef:UniRef90_A0A0S2W6B9
contig_1	762740	762988	+	HKCHME_03900	9.2	5.0		SO:0001217, UniParc:UPI000823322E, UniRef:UniRef100_A0A2U1BIT1, UniRef:UniRef50_A0A2U1BIT1, UniRef:UniRef90_A0A2U1BIT1
contig_1	762997	763197	+	HKCHME_03905	7.5	4.1		RefSeq:WP_242943944.1, SO:0001217, UniParc:UPI000822C057, UniRef:UniRef100_A0A2U1BIU5, UniRef:UniRef50_A0A2U1BIU5, UniRef:UniRef90_A0A2U1BIU5
contig_1	767111	767572	+	HKCHME_03925	17.5	6.3		RefSeq:WP_165366555.1, SO:0001217, UniParc:UPI000D5F71E9, UniRef:UniRef100_A0A2U1BIT8, UniRef:UniRef50_A0A2U1BIT8, UniRef:UniRef90_A0A2U1BIT8
contig_1	794500	794718	-	HKCHME_04000	8.5	11.2		RefSeq:WP_116722235.1, SO:0001217, UniParc:UPI000D5DB676, UniRef:UniRef100_A0A2U1BIV4, UniRef:UniRef50_A0A2U1BIV4, UniRef:UniRef90_A0A2U1BIV4
contig_1	797073	797312	-	HKCHME_04010	9.2	4.7		RefSeq:WP_075704375.1, SO:0001217, UniParc:UPI00082099ED, UniRef:UniRef100_A0A2U1BIZ8, UniRef:UniRef50_A0A0S2W6R4, UniRef:UniRef90_A0A0S2W6R4
contig_1	799647	799874	+	HKCHME_04025	8.2	6.6		RefSeq:WP_075704373.1, SO:0001217, UniParc:UPI0008218290, UniRef:UniRef100_A0A2U1BIV9, UniRef:UniRef50_A0A2U1BIV9, UniRef:UniRef90_A0A2U1BIV9
contig_1	837979	838320	-	HKCHME_04175	12.4	5.5	PF21758.1|PAC_bac	PFAM:PF21758.1, RefSeq:WP_083630943.1, SO:0001217, UniParc:UPI0008218978, UniRef:UniRef100_A0A2U1BIY9, UniRef:UniRef50_A0A2U1BIY9, UniRef:UniRef90_A0A2U1BIY9
contig_1	838317	838790	-	HKCHME_04180	18.1	9.7		RefSeq:WP_116722252.1, SO:0001217, UniParc:UPI000D5ECF77, UniRef:UniRef100_A0A2U1BJ06, UniRef:UniRef50_A0A2U1BJ06, UniRef:UniRef90_A0A2U1BJ06
contig_1	914562	914750	+	HKCHME_04550	7.0	10.2		RefSeq:WP_075704308.1, SO:0001217, UniParc:UPI000821BCA6, UniRef:UniRef100_A0A2U1BJ77, UniRef:UniRef50_A0A2U1BJ77, UniRef:UniRef90_A0A2U1BJ77
contig_1	941581	941778	+	HKCHME_04680	7.8	9.0		RefSeq:WP_033118206.1, SO:0001217, UniParc:UPI00051C0731, UniRef:UniRef100_A0A0S2W5R1, UniRef:UniRef50_A0A0S2W5R1, UniRef:UniRef90_A0A0S2W5R1
contig_1	1005917	1006231	+	HKCHME_04965	11.2	10.0		RefSeq:WP_075704254.1, SO:0001217, UniParc:UPI000822C05B, UniRef:UniRef100_A0A2U1BD84, UniRef:UniRef50_A0A0S2W5M5, UniRef:UniRef90_A0A0S2W5M5
contig_1	1027583	1027714	+	HKCHME_05025	5.0	5.6		SO:0001217, UniParc:UPI000D5F72A1, UniRef:UniRef100_A0A2U1BD94, UniRef:UniRef50_A0A0S2W5M3, UniRef:UniRef90_A0A0S2W5M3
contig_1	1030872	1031198	+	HKCHME_05045	12.2	6.8		RefSeq:WP_075703957.1, SO:0001217, UniParc:UPI000953077B, UniRef:UniRef100_A0A2U1B9U5, UniRef:UniRef50_A0A2U1B9U5, UniRef:UniRef90_A0A2U1B9U5
contig_1	1031787	1031996	-	HKCHME_05055	8.0	6.5		RefSeq:WP_116722653.1, SO:0001217, UniParc:UPI000D5E1EBC, UniRef:UniRef100_A0A2U1BA71, UniRef:UniRef50_A0A2U1BA71, UniRef:UniRef90_A0A2U1BA71
contig_1	1039602	1040036	+	HKCHME_05100	15.3	7.6		RefSeq:WP_116722668.1, SO:0001217, UniParc:UPI000D5CEA29, UniRef:UniRef100_A0A2U1B9E2, UniRef:UniRef50_A0A2U1B9E2, UniRef:UniRef90_A0A2U1B9E2
contig_1	1040049	1040432	+	HKCHME_05105	13.4	4.1		RefSeq:WP_129868791.1, SO:0001217, UniParc:UPI00101ACC82, UniRef:UniRef100_UPI00101ACC82, UniRef:UniRef50_A0A2U1B9H7, UniRef:UniRef90_A0A2U1B9H7
contig_1	1041917	1042087	+	HKCHME_05120	6.0	4.1		RefSeq:WP_165366566.1, SO:0001217, UniParc:UPI0008205EFB, UniRef:UniRef100_A0A1C6HLZ4, UniRef:UniRef50_A0A0S2W5J4, UniRef:UniRef90_A0A0S2W5J4
contig_1	1042228	1042551	+	HKCHME_05130	11.8	4.8		RefSeq:WP_129868793.1, SO:0001217, UniParc:UPI00101AB5EB, UniRef:UniRef100_UPI00101AB5EB, UniRef:UniRef50_A0A2U1B979, UniRef:UniRef90_A0A2U1B979
contig_1	1050904	1051461	+	HKCHME_05180	19.1	6.8		RefSeq:WP_058118046.1, SO:0001217, UniParc:UPI00071AB94A, UniRef:UniRef100_A0A0S2W5N7, UniRef:UniRef50_A0A0S2W5N7, UniRef:UniRef90_A0A0S2W5N7
contig_1	1061415	1062119	+	HKCHME_05230	25.5	9.5		RefSeq:WP_116722418.1, SO:0001217, UniParc:UPI0008208257, UniRef:UniRef100_A0A2U1BFF8, UniRef:UniRef50_A0A0S2W5G6, UniRef:UniRef90_A0A0S2W5G6
contig_1	1081608	1081814	+	HKCHME_05310	6.9	12.0		RefSeq:WP_058118039.1, SO:0001217, UniParc:UPI00071ADF0D, UniRef:UniRef100_A0A0S2W5F1, UniRef:UniRef50_A0A0S2W5F1, UniRef:UniRef90_A0A0S2W5F1
contig_1	1097540	1097779	-	HKCHME_05405	9.0	5.1		RefSeq:WP_075704196.1, SO:0001217, UniParc:UPI0008214E66, UniRef:UniRef100_A0A2U1BFB2, UniRef:UniRef50_A0A0S2W5B9, UniRef:UniRef90_A0A2U1BFB2
contig_1	1103533	1104192	-	HKCHME_05435	23.5	4.7		RefSeq:WP_116722404.1, SO:0001217, UniParc:UPI000D5DD190, UniRef:UniRef100_A0A2U1BFD6, UniRef:UniRef50_A0A2U1BFD6, UniRef:UniRef90_A0A2U1BFD6
